theTime,x,y,z,q1,q2,q3,score,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.64,8.208485,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.66,8.155329,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.68,8.102914,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.7,8.102914,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.72,8.102914,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.74,8.372073,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.76,8.372073,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.78,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.8,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.82,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.84,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.86,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.88,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.9,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.92,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.94,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.96,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.98,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.02,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.04,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.06,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.08,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.1,8.484822,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.12,8.728518,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.14,8.919852,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.16,10.19155,0,-17.09106,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.18,10.92365,0,-15.08591,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.2,12.85067,0,-9.55999,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.22,19.3711,0,9.601677,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.24,22.2694,0,18.32058,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.26,26.61146,0,31.05132,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.28,27.69214,0,34.11955,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.3,28.34789,0,35.73458,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
4.32,28.34789,0,35.73458,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
